Geo_FIPS;TotalPop90;TotalHH90;White90;Black90;Native90;Asian90;Other90;HUnits90;RHUnits90;R0k90;R0k0p90;R0k1p90;R0k2p90;R0k3p90;R0k4p90;R0kNCp90;R10k90;R10k0p90;R10k1p90;R10k2p90;R10k3p90;R10k4p90;R10kNCp90;R20k90;R20k0p90;R20k1p90;R20k2p90;R20k3p90;R20k4p90;R20kNCp90;R35kp90;R35k0p90;R35k1p90;R35k2p90;R35k3p90;R35k4p90;R35kNCp90;R50kp90;R50k0p90;R50k1p90;R50k2p90;R50k3p90;R50k4p90;R50kNCp90;OHUnits90;O0k90;O0k0p90;O0k1p90;O0k2p90;O0k3p90;O0k4p90;O0kNCp90;O10k90;O10k0p90;O10k1p90;O10k2p90;O10k3p90;O10k4p90;O10kNCp90;O20k90;O20k0p90;O20k1p90;O20k2p90;O20k3p90;O20k4p90;O20kNCp90;O35kp90;O35k0p90;O35k1p90;O35k2p90;O35k3p90;O35k4p90;O35kNCp90;O50kp90;O50k0p90;O50k1p90;O50k2p90;O50k3p90;O50k4p90;O50kNCp90
53001950100;2573;1017;2532;0;10;11;20;1191;270;70;0;0;8;2;48;12;66;14;18;14;8;6;6;91;62;4;0;0;0;25;28;16;0;0;0;0;12;15;14;0;0;0;0;1;502;54;6;5;6;3;32;2;130;106;6;10;0;8;0;134;106;23;2;2;1;0;86;84;0;0;2;0;0;98;98;0;0;0;0;0
53001950200;1715;654;1567;0;7;15;126;838;207;40;0;0;4;0;22;14;59;12;9;9;2;0;27;74;30;0;0;0;0;44;25;12;0;0;0;0;13;9;0;0;0;0;3;6;199;20;6;2;0;3;9;0;52;32;15;2;0;3;0;52;47;2;3;0;0;0;58;54;0;4;0;0;0;17;17;0;0;0;0;0
53001950300;4643;1403;2549;7;4;0;2083;1581;325;88;7;0;19;0;51;11;103;22;28;0;15;10;28;116;79;0;0;0;0;37;18;18;0;0;0;0;0;0;0;0;0;0;0;0;263;31;6;7;8;0;5;5;52;26;6;0;8;12;0;57;16;8;21;6;6;0;63;30;26;7;0;0;0;60;60;0;0;0;0;0
53001950400;1925;651;1030;10;6;6;873;725;369;141;0;0;13;29;99;0;112;27;21;16;30;12;6;88;55;13;7;7;0;6;21;16;0;0;0;0;5;7;7;0;0;0;0;0;302;37;0;9;0;13;15;0;46;29;6;0;0;11;0;93;51;10;13;14;5;0;78;74;4;0;0;0;0;48;48;0;0;0;0;0
53001950500;2747;883;1421;10;11;84;1221;928;277;56;0;5;18;0;20;13;79;8;20;18;12;15;6;93;64;23;6;0;0;0;38;38;0;0;0;0;0;11;8;0;0;0;0;3;541;24;5;0;0;0;10;9;73;22;0;5;16;30;0;188;139;18;18;8;5;0;140;114;15;6;0;5;0;116;116;0;0;0;0;0
53003980100;2711;1034;2710;0;1;0;0;1168;197;61;2;5;6;8;26;14;40;3;9;5;0;13;10;63;31;16;2;5;0;9;23;21;2;0;0;0;0;10;5;0;0;0;0;5;549;41;6;3;0;2;20;10;95;36;11;23;10;15;0;123;53;29;29;7;5;0;132;94;31;7;0;0;0;158;146;8;0;4;0;0
53003980200;3509;1322;3490;0;11;8;0;1367;245;35;0;0;0;0;31;4;84;0;25;5;33;21;0;93;52;24;4;13;0;0;11;11;0;0;0;0;0;22;18;0;0;0;0;4;831;53;14;0;0;0;32;7;39;24;0;5;6;4;0;215;94;43;31;33;14;0;230;178;47;5;0;0;0;294;255;36;3;0;0;0
53003980300;3262;1397;3116;11;110;0;25;1541;713;354;0;20;29;54;224;27;198;26;45;46;41;40;0;107;67;28;6;6;0;0;35;30;0;0;0;0;5;19;19;0;0;0;0;0;564;120;37;11;6;0;66;0;169;106;16;16;18;13;0;158;126;11;0;4;17;0;84;75;9;0;0;0;0;33;33;0;0;0;0;0
53003980400;1708;741;1639;20;28;21;0;781;261;110;0;6;8;0;78;18;87;19;17;24;5;22;0;44;32;12;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0;313;20;0;0;0;7;13;0;99;51;0;17;18;13;0;96;78;12;6;0;0;0;66;57;9;0;0;0;0;32;32;0;0;0;0;0
53003980500;3551;1474;3458;21;22;7;43;1522;627;272;13;6;29;16;180;28;156;13;71;16;30;26;0;174;125;33;16;0;0;0;15;15;0;0;0;0;0;10;10;0;0;0;0;0;626;125;49;11;21;8;29;7;108;68;12;7;0;21;0;235;159;54;15;7;0;0;107;95;12;0;0;0;0;51;51;0;0;0;0;0
